conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username
1803813270995824797,Fri Jun 21 07:34:46 +0000 2024,0,@kumancantik aku pake biznet kak cipa cepett,1804055345943449710,,kumancantik,in,,0,0,0,https://x.com/everlastaeing/status/1804055345943449710,1306129962773012480,everlastaeing
1804032040402325617,Fri Jun 21 06:02:10 +0000 2024,2,Efek pandemi Covid-19 membuat perubahan perilaku pelanggan Biznet dan semula mayoritas B2B (perkantoran) kini kebanyakan dari pelanggan rumahan.,1804032040402325617,,,in,Jakarta,0,0,1,https://x.com/kompascom/status/1804032040402325617,23343960,kompascom
1804022151957352799,Fri Jun 21 05:55:30 +0000 2024,0,@YehezGun tul contabo murah itu atau mau naik dikit ke biznet gio juga cakeup. btw tambahan alasan 8gb gak rekomen startup app aja udah 3GB sendiri ini belum jalanin service di local meeting excalidraw google sheet chatgpt etc M1 cepet sih tapi ttp ga ngangkat kapasitas https://t.co/LxFJFqggakV,1804030361732595908,https://pbs.twimg.com/media/GQky7XHakAMj5Yc.png,YehezGun,in,Bekasi ,0,1,0,https://x.com/ramandann/status/1804030361732595908,237172744,ramandann
1804026539857649926,Fri Jun 21 05:40:18 +0000 2024,1,Sempurnakan Hidupmu #PakeBiznet Biznet Home Internet WiFi Terbaik Contact Person : 0851-6262-8121 Coordinator Area Biznet Yogyakarta #InternetJogja #WiFiJogja #BiznetJogja,1804026539857649926,https://pbs.twimg.com/media/GQkwkxCa4AANeaA.jpg,,in,Yogyakarta,0,1,0,https://x.com/bznetjogja/status/1804026539857649926,359311572,bznetjogja
1804014017028952570,Fri Jun 21 04:50:33 +0000 2024,0,biznet adalah wifi terproblematik yang pernah ku temukan selama hidupku,1804014017028952570,,,in,,0,0,0,https://x.com/sakumeengg/status/1804014017028952570,1803113350345400320,sakumeengg
1804012798596518204,Fri Jun 21 04:45:42 +0000 2024,0,@BiznetHome min ini biznet di kuta utara bali kenapa dah dari kemaren lemot amat harga makin naik masa internet nonton youtube aja loading ,1804012798596518204,,BiznetHome,in,Bali,0,2,0,https://x.com/base_ace27/status/1804012798596518204,3000679110,base_ace27
1804007375415972010,Fri Jun 21 04:26:14 +0000 2024,0,@aisteabtl Wkwkwkwk Biznet ajade,1804007900496695509,,aisteabtl,in,,0,0,0,https://x.com/fahrejerk_/status/1804007900496695509,450417180,fahrejerk_
1804003226318242019,Fri Jun 21 04:07:40 +0000 2024,3,indihome gajelas banget emg paling bener pake biznet,1804003226318242019,,,in,,0,1,0,https://x.com/moongalsh/status/1804003226318242019,394707612,moongalsh
1803981112856973631,Fri Jun 21 02:39:48 +0000 2024,0,biznet ok ga sih soalnya mau ganti dari indi,1803981112856973631,,,in,,0,0,0,https://x.com/haevyong/status/1803981112856973631,1715550425229987840,haevyong
1803969279450321371,Fri Jun 21 01:52:47 +0000 2024,1,Biznet mulai operasionalkan kabel laut BNCS-1,1803969279450321371,,,in,Jakarta,0,0,0,https://x.com/indotelko/status/1803969279450321371,410485110,indotelko
1803964823618883682,Fri Jun 21 01:35:04 +0000 2024,0,Biznet mengoperasikan kabel bawah laut perdana yang dapat memberikan bandwith lebih besar. Meski demikian hal ini tidak berdampak pada harga langganan,1803964823618883682,,,in,Jakarta,0,0,0,https://x.com/kompascom/status/1803964823618883682,23343960,kompascom
1803955379929518472,Fri Jun 21 00:57:33 +0000 2024,3,Sukses bangun kabel fiber optik bawah laut pertama Biznet siap bangun jaringan fiber optic di wilayah Indonesia Timur. #kumparanTECH,1803955379929518472,,,in,,0,0,0,https://x.com/kumparan/status/1803955379929518472,759692754985242625,kumparan
1803952516457206239,Fri Jun 21 00:46:10 +0000 2024,1,Biznet Tak Khawatir dengan Starlink Mini Elon Musk Cocok untuk Wilayah Rural,1803952516457206239,,,in,"Jakarta, Indonesia",0,0,1,https://x.com/Bisniscom/status/1803952516457206239,118646322,Bisniscom
1802179892123259113,Thu Jun 20 23:23:23 +0000 2024,0,@cheesecxk Biznet sih,1803931683164430702,,cheesecxk,in,,0,0,0,https://x.com/Koalareog/status/1803931683164430702,1557985256816652288,Koalareog
1803924896772428097,Thu Jun 20 22:56:25 +0000 2024,0,@BiznetHome halo biznet dari malam sampai pagi ini Wifi masih no internet connecttion kenapa yah? Masa sekelas perusahaan ISP autobilingnya ga auto seh??,1803924896772428097,,BiznetHome,in,Karawang,0,2,0,https://x.com/Husna_Mubarok/status/1803924896772428097,60521106,Husna_Mubarok
1803857853662511424,Thu Jun 20 18:30:01 +0000 2024,0,hampir setiap hari kaya gini hadeh biznet biznet.. @BiznetHome,1803857853662511424,https://pbs.twimg.com/media/GQiXJhKa4AA3Uek.jpg,,in,,0,1,0,https://x.com/raybintangp/status/1803857853662511424,1494532206181912577,raybintangp
1803820425916383276,Thu Jun 20 16:01:17 +0000 2024,0,Tolong biznet kapan masuk ke daerah gue woi:( sesek banget bayar wifi indihom,1803820425916383276,,,in,gila nih lama lama,0,1,0,https://x.com/memiserotonin/status/1803820425916383276,1238482795611095041,memiserotonin
